Row Labels,Birmingham City Council,Solihull Metropolitan Borough Council,Grand Total
2009/10,,379602,379602
2010/11,2865000,343303,3208303
2011/12,2865000,404376,3269376
2012/13,2865000,422215,3287215
2013/14,2768000,461859,3229859
2014/15,2807000,559789,3366789
2015/16,3105000,492447,3597447
2016/17,3105000,475183,3580183
2017/18,3105000,,3105000
