date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Saturday, 14 March 2020",2020-03-14,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14
"Sunday, 15 March 2020",2020-03-15,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-21
"Monday, 16 March 2020",2020-03-16,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-22,2020-03-21
"Tuesday, 17 March 2020",2020-03-17,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-23,2020-03-22,2020-03-21
"Wednesday, 18 March 2020",2020-03-18,2020-03-20,2020-03-19,2020-03-18,2020-03-24,2020-03-23,2020-03-22,2020-03-21
"Thursday, 19 March 2020",2020-03-19,2020-03-20,2020-03-19,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21
"Friday, 20 March 2020",2020-03-20,2020-03-20,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21
"Saturday, 21 March 2020",2020-03-21,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21
"Sunday, 22 March 2020",2020-03-22,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-28
"Monday, 23 March 2020",2020-03-23,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-29,2020-03-28
"Tuesday, 24 March 2020",2020-03-24,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-30,2020-03-29,2020-03-28
"Wednesday, 25 March 2020",2020-03-25,2020-03-27,2020-03-26,2020-03-25,2020-03-31,2020-03-30,2020-03-29,2020-03-28
"Thursday, 26 March 2020",2020-03-26,2020-03-27,2020-03-26,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-03-28
"Friday, 27 March 2020",2020-03-27,2020-03-27,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-03-28
"Saturday, 28 March 2020",2020-03-28,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-03-28
"Sunday, 29 March 2020",2020-03-29,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-29,2020-04-04
"Monday, 30 March 2020",2020-03-30,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-04-05,2020-04-04
"Tuesday, 31 March 2020",2020-03-31,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-04-06,2020-04-05,2020-04-04
"Wednesday, 1 April 2020",2020-04-01,2020-04-03,2020-04-02,2020-04-01,2020-04-07,2020-04-06,2020-04-05,2020-04-04
