marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
S14000004,12,Angus,"63,840","40,192",63.0%,"40,257",63.1%,"40,157",62.9%,0,15,0,50,0,65,"12,130",18,1,"12,149",73,"9,631",27,3,15,0,0,61,"2,412","12,149","9,926",65,119,"9,731",195,406,10,138,24,4,37,44,65,9,11,5,94,590,27,10,28/05/17,23/05/17,29,22:00:00,00:30:00,00:30:00,01:37:00,No,0,0,0
W07000057,16,Arfon,"41,367","28,208",68.2%,"28,275",68.4%,"28,414",68.7%,0,7,0,60,0,67,"7,227",20,0,"7,247",20,"6,117",27,0,20,0,0,14,"1,069","7,247","6,117",6,133,"5,978",139,213,8,38,2,8,2,69,38,16,0,1,50,502,27, ,22/05/17,25/05/17,8,22:00:00,23:45:00,00:00:00,01:30:00,No,1,0,0
S14000005,17,Argyll and Bute,"67,230","48,069",71.5%,"48,138",71.6%,"48,300",71.8%,0,10,0,59,0,69,"14,061",41,1,"14,103",10,"11,901",38,3,22,0,0,61,"2,078","14,103","11,901",57,84,"11,739",162,591,19,91,19,4,34,19,60,5,5,16,125,576,19,14,23/05/17,24/05/17,26,22:15:00,03:30:00,23:50:00,04:30:00,No,0,0,0
E14000534,18,Arundel and South Downs,"79,478","60,256",75.8%,"60,410",76.0%,"60,605",76.3%,0,26,12,116,0,154,"14,606",102,27,"14,735",64,"12,966",71,3,49,43,0,36,"1,567","14,735","12,966",8,127,"12,771",195,669,23,226,6,2,0,27,92,8,28,32,63,427,12,12,22/05/17,22/05/17,23,22:00:00,01:45:00,01:55:00,05:05:00,No,0,0,0
E14000535,19,Ashfield,"78,076","49,995",64.0%,"50,057",64.1%,"50,378",64.5%,1,21,4,36,0,62,"14,908",71,0,"14,979",15,"12,785",29,18,38,0,0,14,"2,080","14,964","12,785",39,82,"12,464",305,208,4,98,34,4,1,18,50,14,37,169,68,354,9,7,15/05/17,24/05/17,28,22:00:00,01:15:00,01:30:00,05:45:00,No,2,0,0
E14000536,20,Ashford,"87,387","59,879",68.5%,"60,014",68.7%,"60,524",69.3%,0,24,1,110,0,135,"13,502",59,0,"13,561",25,"11,715",65,17,17,0,0,29,"1,711","13,554","11,715",255,156,"11,205",464,434,14,59,17,2,236,32,102,22,7,45,73,925,42,2,24/05/17,26/05/17,46,22:00:00,00:00:00,00:00:00,02:50:00,No,0,0,0
E14000537,21,Ashton-under-Lyne,"67,674","39,773",58.8%,"39,854",58.9%,"40,058",59.2%,0,25,4,52,0,81,"12,727",59,0,"12,786",20,"9,727",173,117,101,65,50,212,"2,341","12,786","9,727",105,99,"9,523",0,150,21,39,31,29,45,29,45,25,11,12,52,637,0,31,18/05/17,20/05/17,83,22:00:00,01:30:00,01:45:00,05:00:00,No,0,0,0
E14000538,22,Aylesbury,"82,546","58,783",71.2%,"58,905",71.4%,"59,132",71.6%,0,32,3,87,0,122,"14,309",57,7,"14,373",20,"12,323",34,0,37,7,0,39,"1,933","14,373","12,323",137,53,"12,096",227,374,10,55,16,68,53,27,17,9,5,32,75,745,14,30,19/05/17,22/05/17,63,22:30:00,01:30:00,01:00:00,03:15:00,No,0,0,0
S14000006,23,"Ayr, Carrick and Cumnock","71,241","46,222",64.9%,"46,296",65.0%,"46,567",65.4%,0,21,1,52,0,74,"15,562",31,1,"15,594",0,"13,267",21,12,19,1,0,43,"2,231","15,594","13,299",99,187,"12,996",41,379,19,163,28,10,61,77,96,14,17,24,68,634,21,0,19/05/17,25/05/17,41,22:00:00,00:00:00,00:20:00,03:00:00,No,0,0,0
E14000539,26,Banbury,"83,824","61,562",73.4%,"61,677",73.6%,"61,866",73.8%,0,18,1,96,0,115,"12,648",78,0,"12,726",34,"10,849",54,6,38,0,0,60,"1,719","12,726","10,849",80,109,"10,660",211,594,0,106,9,64,7,54,51,4,15,7,110,744,0,23,22/05/17,24/05/17,34,22:00:00,01:15:00,01:30:00,04:00:00,No,0,0,0
