marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
W07000059,155,Clwyd West,"58,263","40,662",69.8%,"40,741",69.9%,"40,876",70.2%,2,15,0,62,0,79,"10,396",58,0,"10,454",21,"9,002",17,8,29,0,0,18,"1,380","10,454","9,002",32,64,"8,867",135,283,10,86,2,27,3,11,36,17,18,21,62,707,7,5,22/05/17,23/05/17,23,22:00:00,23:59:00,00:15:00,02:35:00,No,0,0,0
S14000011,156,"Coatbridge, Chryston and Bellshill","71,198","45,040",63.3%,"45,119",63.4%,"45,066",63.3%,0,22,1,56,0,79,"9,743",35,0,"9,778",8,"7,461",29,4,31,0,0,43,"2,210","9,778","7,552",46,20,"7,514",66,242,4,96,18,4,22,12,4,4,0,17,67,769,0,22,19/05/17,22/05/17,39,22:10:00,23:10:00,00:40:00,03:05:00,No,0,0,0
E14000644,157,Colchester,"79,996","53,545",66.9%,"53,657",67.1%,"53,917",67.4%,0,17,1,94,0,112,"13,133",214,0,"13,347",22,"11,312",32,13,32,0,0,40,"1,918","13,347","11,312",41,160,"11,052",50,502,24,60, , , ,77,62,21,9,32,55,944,13, ,19/05/17,22/05/17,41,22:00:00,12:30:00,00:45:00,02:30:00,No,0,0,0
E14000645,158,Colne Valley,"84,387","60,420",71.6%,"60,578",71.8%,"60,942",72.2%,0,23,8,127,0,158,"17,689",96,0,"17,785",73,"15,645",23,0,23,73,0,50,"1,971","17,785","15,645",40,167,"15,281",207,576,7,77,5,24,11,83,43,34,7,15,53,530,128, ,15/05/17,24/05/17,44,22:30:00,01:20:00,01:30:00,04:30:00,No,0,0,0
E14000646,159,Congleton,"76,694","56,231",73.3%,"56,329",73.4%,"56,823",74.1%,2,75,2,19,0,98,"15,712",119,6,"15,837",129,"13,962",55,2,0,117,0,45,"1,656","15,837","13,962",42,243,"13,468",298,442,27,93,11,16,15,159,72,12,9,4,66,944, , ,16/05/17,24/05/17, ,22:00:00,01:00:00,01:10:00,04:00:00,No,0,0,0
E14000647,160,Copeland,"61,751","42,927",69.5%,"43,012",69.7%,"43,351",70.2%,0,12,3,70,0,85,"13,504",40,0,"13,544",53,"11,506",23,13,28,0,0,24,"1,950","13,544","11,506",96,243,"11,167",339,302,9,40,27,15,54,164,52,27,16,16,100,906,15, ,18/05/17,22/05/17,38,22:00:00,00:00:00,00:30:00,04:30:00,No,0,0,0
E14000648,161,Corby,"83,020","59,997",72.3%,"60,091",72.4%,"60,323",72.7%,0,19,0,75,0,94,"17,216",247,0,"17,463",157,"15,153",51,9,81,0,0,36,"2,133","17,463","15,153",28,204,"14,921",232,550,22,217,3,1,0,42,112,46,21,7,90,"15,153",21,50,19/05/17,24/05/17,31,22:17:00,01:00:00,01:28:00,04:00:00,No,0,0,0
E14000649,165,Coventry North East,"75,759","46,508",61.4%,"46,636",61.6%,"46,918",61.9%,0,78,0,50,0,128,"8,545",59,0,"8,604",20,"7,059",42,3,29,0,0,17,"1,454","8,604","7,059",29,151,"6,777",45,163,44,54,9,14,6,79,54,18,11,34,49,741,21,0,15/05/17,22/05/17,50,22:45:00,01:00:00,01:00:00,02:39:00,No,0,0,0
E14000650,166,Coventry North West,"75,196","49,854",66.3%,"49,942",66.4%,"50,469",67.1%,0,32,0,56,0,88,"9,309",83,0,"9,392",27,"7,670",38,3,24,0,0,25,"2,159","9,919","7,670",31,55,"7,143",65,317,69,40,12,14,5,10,42,3,16,48,43,711,34,0,15/05/17,22/05/17,50,22:45:00,01:00:00,01:00:00,02:50:00,No,0,0,0
E14000651,167,Coventry South,"70,736","47,031",66.5%,"47,145",66.6%,"47,235",66.8%,1,41,1,71,0,114,"9,123",123,0,"9,246",54,"7,674",41,1,29,0,0,29,"1,472","9,246","7,674",23,63,"7,584",49,381,92,41,9,6,8,12,42,9,22,27,46,812,22,0,15/05/17,22/05/17,50,22:45:00,01:00:00,01:00:00,02:36:00,No,0,0,0
E14000652,168,Crawley,"73,425","50,273",68.5%,"50,454",68.7%,"50,634",69.0%,0,47,0,134,0,181,"14,183",71,0,"14,254",19,"12,122",38,11,41,0,0,31,"2,011","14,254","12,103",49,112,"11,942",180,318,92,61,34,3,12,30,70,12,10,9,52,"1,087",12,40,17/05/17,23/05/17,65,23:15:00,01:45:00,01:50:00,03:45:00,No,0,0,0
E14000653,169,Crewe and Nantwich,"78,895","55,027",69.7%,"55,128",69.9%,"55,651",70.5%,0,47,32,21,1,101,"14,867",249,0,"15,116",127,"13,072",46,2,3,244,0,36,"1,713","15,116","13,072",41,265,"12,549",326,342,27,112,8,12,21,168,87,10,4,16,72,864, , ,16/05/17,24/05/17,25,22:00:00,00:45:00,01:10:00,06:10:00,No,2,0,0
E14000654,170,Croydon Central,"80,045","57,095",71.3%,"57,204",71.5%,"57,395",71.7%,0,39,2,68,0,109,"14,501",107,0,"14,608",36,"12,140",65,3,68,146,0,79,"2,107","14,608","12,140",8,186,"11,949",191,384,17,50,2,6,0,65,97,24,28,17,46,638,83,312,19/05/17,25/05/17,212,22:01:00,00:30:00,00:45:00,04:00:00,No,0,0,0
E14000655,171,Croydon North,"87,461","59,623",68.2%,"59,754",68.3%,"59,971",68.6%,0,54,3,74,0,131,"13,545",81,0,"13,626",23,"10,999",86,3,55,122,0,94,"2,267","13,626","10,999",3,214,"10,782",217,338,5,76,0,3,0,75,101,38,20,0,52,635,83,38,19/05/17,22/05/17,211,22:01:00,01:50:00,02:00:00,05:15:00,No,0,0,0
E14000656,172,Croydon South,"83,518","61,282",73.4%,"61,405",73.5%,"61,598",73.8%,0,33,1,89,0,123,"17,307",113,0,"17,420",47,"17,091",59,7,59,146,0,58,0,"17,420","17,091",7,187,"16,898",193,475,14,123,1,3,3,58,105,24,40,0,49,692,56, ,19/05/17,25/05/17,230,22:01:00,00:55:00,01:10:00,05:00:00,No,0,0,0
S14000012,173,"Cumbernauld, Kilsyth and Kirkintilloch East","66,554","43,833",65.9%,"43,883",65.9%,"43,973",66.1%,0,9,0,41,0,50,"9,994",31,0,"10,025",14,"8,149",25,6,25,0,0,22,"1,798","10,025","8,149",52,16,"8,059",68,316,7,90,20,6,25,12,3,25,1,24,67,764,0,29,19/05/17,22/05/17,28,22:10:00,23:10:00,00:35:00,03:05:00,No,0,0,0
W07000070,174,Cynon Valley,"51,334","31,813",62.0%,"31,873",62.1%,"32,193",62.7%,0,21,0,39,0,60,"10,288",27,0,"10,315",57,"8,539",15,3,23,1,0,15,"1,719","10,315","8,539",101,73,"8,219",320,164,2,119,36,51,14,6,61,6,53,92,49,671,4,14,17/05/17,23/05/17,39,22:00:00,23:45:00,00:15:00,02:00:00,No,0,0,0
E14000657,175,Dagenham and Rainham,"70,616","45,843",64.9%,"45,916",65.0%,"46,161",65.4%,0,22,0,51,0,73,"10,321",50,0,"10,371",7,"8,419",65,1,42,0,0,31,"1,779","10,337","8,419",60,185,"8,174",0,90,4,48,6,45,9,103,62,20,0,0,48,463,0,10,22/05/17,26/05/17,0,22:00:00,00:10:00,00:10:00,03:15:00,No,0,0,0
E14000658,176,Darlington,"66,341","44,817",67.6%,"44,896",67.7%,"45,128",68.0%,0,25,0,54,0,79,"14,028",59,0,"14,087",23,"12,438",15,4,32,0,0,35,"1,563","14,087","12,438",48,138,"12,206",9,310,9,40,13,8,27,36,41,61,1,8,43,887,1,18,18/05/17,22/05/17,87,22:00:00,23:30:00,23:30:00,00:45:00,No,0,0,0
E14000659,177,Dartford,"77,495","54,224",70.0%,"54,341",70.1%,"54,499",70.3%,0,29,2,86,0,117,"12,263",28,0,"12,291",20,"10,295",37,2,26,0,0,20,"1,911","12,291","10,295",171,16,"10,137",225,308,8,26,6,43,40,14,57,11,16,38,58,"1,108",20,2,23/05/17,23/05/17,45,22:00:00,23:15:00,23:15:00,03:05:00,No,0,0,0
E14000660,178,Daventry,"75,268","55,665",74.0%,"55,767",74.1%,"55,969",74.4%,0,15,3,84,0,102,"15,114",118,0,"15,232",63,"13,135",62,11,44,0,0,52,"1,938","15,242","12,988",55,107,"12,933",0,448,11,91,8,40,7,20,71,16,0,0,95,"1,213",52,1,19/05/17,25/05/17,51,22:15:00,01:00:00,01:30:00,04:00:00,No,0,0,0
W07000042,179,Delyn,"54,090","39,418",72.9%,"39,487",73.0%,"39,652",73.3%,0,19,2,48,0,69,"9,974",58,0,"10,032",16,"8,744",17,41,1,0,0,0,"1,229","10,032","8,744",3,129,"8,579",0,287,77,70,0,2,1,44,52,33,0,0,54,743,3, ,24/05/17,18/05/17, ,22:00:00,00:00:00,00:00:00,02:03:00,No,0,0,0
E14000661,180,Denton and Reddish,"65,751","39,599",60.2%,"39,671",60.3%,"40,014",60.9%,0,14,1,57,0,72,"13,734",55,0,"13,789",22,"10,771",102,106,84,48,40,316,"2,362","13,789","10,771",99,244,"10,428",0,158,32,56,21,20,58,76,106,62,7,11,49,659,73,11,18/05/17,20/05/17,85,22:00:00,01:20:00,01:35:00,04:50:00,No,0,0,0
E14000662,181,Derby North,"69,919","48,672",69.6%,"48,781",69.8%,"49,166",70.3%,0,21,2,86,0,109,"12,514",105,0,"12,619",54,"11,030",50,3,48,0,0,27,"1,407","12,565","11,030",1,327,"10,645",385,348,17,123,0,1,0,120,167,40,0,28,35, , , ,18/05/17,22/05/17, ,22:00:00,01:00:00,02:30:00,03:00:00,No,0,0,0
E14000663,182,Derby South,"69,918","45,306",64.8%,"45,411",64.9%,"45,861",65.6%,0,33,2,70,0,105,"11,743",88,0,"11,831",40,"9,999",46,4,44,0,0,35,"1,663","11,791","9,999",0,401,"9,549",450,227,5,143,0,0,0,171,187,43,0,22,37, , , ,18/05/17,22/05/17, ,22:00:00,01:00:00,02:30:00,03:45:00,No,0,0,0
E14000664,183,Derbyshire Dales,"64,430","49,571",76.9%,"49,722",77.2%,"49,901",77.4%,0,21,5,125,0,151,"14,025",20,0,"14,045",52,"12,360",28,3,17,0,0,33,"1,666","14,107","12,422",241,241,"12,181",241,530,15,52,14,11,23,103,84,6,25,34,106,518,6,18,19/05/17,19/05/17,26,22:00:00,02:05:00,23:30:00,03:30:00,No,0,0,0
E14000665,187,Devizes,"72,185","50,593",70.1%,"50,700",70.2%,"50,931",70.6%,0,13,0,94,0,107,"14,603",85,0,"14,688",59,"11,990",84,13,13,0,0,107,"2,481","14,688","11,990",58,151,"11,759",0,606,21,108,7,44,7,75,71,5,13,6,71,989,22,1,20/05/17,25/05/17,38,22:00:00,01:15:00,01:30:00,03:15:00,No,0,0,0
E14000666,193,Dewsbury,"81,343","56,545",69.5%,"56,700",69.7%,"57,215",70.3%,0,35,2,118,0,155,"16,007",63,0,"16,070",38,"14,082",31,0,25,38,0,33,"1,861","16,007","14,082",59,210,"13,567",269,416,11,103,6,27,15,109,71,30,11,13,52,508,162, ,15/05/17,24/05/17,54,22:30:00,01:15:00,01:30:00,04:20:00,No,0,0,0
E14000667,194,Don Valley,"73,990","45,988",62.2%,"46,082",62.3%,"46,271",62.5%,0,25,2,67,0,94,"22,586",106,0,"22,692",45,"18,222",101,2,59,0,0,72,"4,236","22,692","18,222",93,96,"18,033",0,181,23,54,29,14,50,15,48,33,0,0,57,"1,458",66,5,18/05/17,24/05/17,77,22:00:00,00:10:00,00:10:00,02:38:00,No,0,0,0
E14000668,195,Doncaster Central,"71,718","43,024",60.0%,"43,146",60.2%,"43,350",60.4%,0,34,3,85,0,122,"20,094",100,0,"20,194",25,"16,142",51,4,71,0,0,113,"3,813","20,194","16,142",92,112,"15,938",0,182,33,55,27,13,52,12,65,35,5,7,52,"1,641",26,13,18/05/17,24/05/17,261,22:00:00,00:10:00,00:10:00,02:21:00,No,0,0,0
E14000669,196,Doncaster North,"72,377","42,312",58.5%,"42,388",58.6%,"42,595",58.9%,0,24,0,52,0,76,"19,065",62,0,"19,127",18,"15,172",42,1,43,0,0,26,"3,843","19,127","15,172",96,111,"14,965",0,148,34,65,31,10,55,13,53,45,16,19,64,"1,260",17,12,18/05/17,24/05/17,133,22:00:00,00:10:00,00:10:00,02:48:00,No,0,0,0
E14000670,201,Dover,"74,564","51,966",69.7%,"52,042",69.8%,"52,255",70.1%,0,27,1,48,0,76,"14,225",97,0,"14,322",37,"12,430",25,10,50,0,0,41,"1,766","14,322","12,430",57,150,"12,217",213,508,7,61,23,3,31,33,99,18,7,6,53,"1,051",9,13,17/05/17,23/05/17,50,22:00:00,00:25:00,23:03:00,01:25:00,No,0,0,0
E14000671,204,Dudley North,"62,042","38,910",62.7%,"38,983",62.8%,"39,095",63.0%,0,41,4,28,0,73,"8,463",32,0,"8,495",12,"7,143",24,0,20,0,0,15,"1,301","8,503","7,143",16,88,"7,031",105,181,1,65,4,4,8,36,39,13,12,3,58,277,9, ,15/05/17,23/05/17,34,22:15:00,01:00:00,01:15:00,04:15:00,No,3,0,0
E14000672,205,Dudley South,"61,324","38,249",62.4%,"38,300",62.5%,"38,430",62.7%,0,18,2,31,0,51,"8,547",20,0,"8,567",12,"7,203",21,0,8,0,0,36,"1,295","8,563","7,203",23,90,"7,073",119,220,0,57,9,6,8,33,44,13,5,0,50,231,3, ,15/05/17,23/05/17,17,22:15:00,01:00:00,01:15:00,04:00:00,No,0,0,0
E14000673,206,Dulwich and West Norwood,"78,037","56,143",71.9%,"56,305",72.2%,"56,495",72.4%,34,29,0,99,0,162,"11,625",86,0,"11,711",86,"9,637",92,0,53,0,0,39,"1,804","11,625","9,637",75,74,"9,447",190,517,32,14,7,56,10,36,29,3,8,11,47,410,22,25,19/05/17,20/05/17, ,22:00:00,01:09:00,01:20:00,04:00:00,No,0,0,0
S14000013,207,Dumfries and Galloway,"74,206","51,599",69.5%,"51,644",69.6%,"51,854",69.9%,0,12,2,31,0,45,"17,224",44,0,"17,268",0,"12,718",48,36,16,0,0,22,"4,428","17,268","12,718",0,210,"12,508",210,441,20,163,29,16,38,30,91,6,"14,610",0,111,427,48,0,23/05/17,23/05/17,25,22:00:00,01:00:00,01:20:00,07:20:00,No ,0,0,0
S14000014,208,"Dumfriesshire, Clydesdale and Tweeddale","67,672","48,964",72.4%,"49,024",72.4%,"49,192",72.7%,0,15,0,45,0,60,"15,308",52,0,"15,360",0,"14,139",44,20,24,0,0,15,"1,118","15,360","14,139",0,168,"13,971",168,310,23,151,16,10,32,21,85,4,"13,156",0,108,353,44,0,23/05/17,23/05/17,17,22:00:00,01:00:00,01:20:00,07:20:00,No,0,0,0
S14000015,211,Dundee East,"65,854","42,928",65.2%,"42,985",65.3%,"43,161",65.5%,0,13,1,43,0,57,"14,264",39,0,"14,304",0,"11,736",34,11,28,0,0,48,"2,447","14,304","11,736",98,78,"11,560",176,490,4,328,23,29,46,11,57,10,12,39,77,846,10,4,19/05/17,22/05/17,23,22:00:00,23:30:00,00:30:00,01:50:00,No,0,0,0
S14000016,212,Dundee West,"62,644","38,675",61.7%,"38,776",61.9%,"38,936",62.2%,0,23,0,78,0,101,"12,693",37,0,"12,730",0,"10,151",32,5,32,0,0,51,"2,459","12,730","10,151",123,37,"9,991",160,331,3,295,26,38,59,3,31,3,14,42,72,716,18,8,19/05/17,22/05/17,45,22:00:00,23:30:00,00:30:00,01:55:00,No,0,0,0
S14000017,213,Dunfermline and West Fife,"75,672","50,937",67.3%,"51,010",67.4%,"51,260",67.7%,0,17,0,56,0,73,"15,493",18,1,"15,512",1,"12,773",47,2,15,1,0,46,"2,628","15,512","12,752",71,147,"12,523",241,352,4,79,22,7,42,67,66,14,11,23,78,"1,162",22,3,20/05/17,24/05/17,52,22:00:00,00:45:00,00:45:00,02:58:00,No,0,0,0
W07000061,217,Dwyfor Meirionnydd,"44,699","30,348",67.9%,"30,415",68.0%,"30,531",68.3%,0,8,0,59,0,67,"6,746",15,0,"6,761",15,"5,677",27,0,15,0,0,14,"1,028","6,761","5,677",2,114,"5,561",116,388,5,54,1,2,3,36,58,17,0,0,86,392,23, ,22/05/17,25/05/17,4,22:00:00,00:45:00,01:00:00,02:30:00,No,0,0,0
E14000674,218,Ealing Central and Acton,"74,200","55,342",74.6%,"55,533",74.8%,"55,533",74.8%,0,42,5,144,0,191,"11,658",189,0,"11,847",56,"9,505",133,127,6,133,3,50,"1,914","11,847","9,505",2,313,"9,505",0,876,24,23,12,21,2,161,102,50,19,3,56,966,35,112,19/05/17,22/05/17,0,22:00:00,23:45:00,23:50:00,13:00:00,No,0,0,0
E14000675,219,Ealing North,"74,764","52,516",70.2%,"52,668",70.4%,"52,668",70.4%,0,58,2,92,0,152,"9,016",76,0,"9,092",25,"7,164",52,51,0,51,1,40,"1,735","9,094","7,164",5,270,"7,164",0,423,3,23,11,14,2,155,76,39,15,1,58,885,18,90,19/05/17,22/05/17,0,22:00:00,00:00:00,00:10:00,01:20:00,No,0,0,0
E14000676,220,"Ealing, Southall","65,188","45,145",69.3%,"45,318",69.5%,"45,318",69.5%,0,82,0,91,0,173,"8,338",42,0,"8,380",18,"6,478",42,23,1,24,1,45,"1,755","8,369","6,478",9,313,"6,478",0,310,12,26,11,18,4,148,123,42,21,5,48,929,7,26,19/05/17,22/05/17,0,22:00:00,00:30:00,00:40:00,02:00:00,No,0,0,0
E14000677,221,Easington,"62,385","36,364",58.3%,"36,421",58.4%,"36,609",58.7%,0,12,0,45,0,57,"13,738",34,0,"13,772",11,"11,316",21,23,0,0,0,17,"2,395","13,772","11,316",92,59,"11,128",188,133,3,62,20,20,52,5,21,33,0,0,59,737,11,72,18/05/17,22/05/17,23,22:00:00,01:20:00,01:20:00,03:00:00,No,0,0,0
N06000005,13,East Antrim,"62,908","38,143",60.6%,"38,269",60.8%,"38,289",60.9%,0,50,0,76,0,126,741,0,0,741,0,672,3,0,0,0,0,0,66,741,,,,652,20,353,,,,,,,,,,,71,,,63, , ,0,22:30:00,00:58:00,01:00:00,02:20:00, ,0,0,0
E14000678,189,East Devon,"82,369","60,382",73.3%,"60,443",73.4%,"60,925",74.0%,0,17,0,44,0,61,"13,457",31,0,"13,488",169,"11,787",21,23,0,0,30,19,"1,608","13,488","11,787",137,142,"11,305",203,782,55,90,3,2,4,125,43,26,18,209,71,"11,787",9,7,18/05/17,26/05/17,54,22:00:00,00:30:00,00:30:00,04:30:00,No,0,23,0
S14000018,209,East Dunbartonshire,"66,300","51,801",78.1%,"51,869",78.2%,"52,143",78.6%,0,14,1,53,0,68,"13,465",65,0,"13,530",4,"11,980",27,9,38,0,0,36,"2,147","13,530","11,980",37,65,"11,706",274,631,12,84,4,31,2,21,34,10,5,167,69,750,10,17,22/05/17,22/05/17,44,22:00:00,00:30:00,00:40:00,02:20:00,No,0,0,0
E14000679,222,East Ham,"83,928","56,633",67.5%,"56,812",67.7%,"57,100",68.0%,9,104,3,63,0,179,"11,793",165,0,"11,958",94,"9,435",92,0,71,0,0,72,"2,288","11,958","9,435",58,129,"9,147",288,175,8,39,7,46,5,9,62,58,11,23,61,"1,313",92, ,17/05/17,22/05/17,130,22:00:00,01:00:00,01:15:00,03:00:00,No,0,0,0
E14000680,287,East Hampshire,"74,151","55,409",74.7%,"55,568",74.9%,"55,730",75.2%,0,34,0,125,0,159,"13,520",136,0,"13,656",84,"11,646",65,1,51,2,0,35,"1,748","13,548","11,646",21,141,"11,484",26,776,40,145,7,6,8,47,35,59,0,0,64,411,65, ,17/05/17,22/05/17, ,22:15:00,12:00:00,12:00:00,04:00:00,No,0,0,0
S14000019,223,"East Kilbride, Strathaven and Lesmahagow","80,442","54,203",67.4%,"54,284",67.5%,"54,419",67.6%,0,19,2,60,0,81,"13,312",39,0,"13,351",2,"10,718",16,20,19,0,0,62,"2,516","13,351","10,718",69,54,"10,583",135,400,10,146,23,4,42,4,46,4,12,17,88,"1,010",16,10,19/05/17,23/05/17,34,22:00:00,00:41:00,00:41:00,02:01:00,No,0,0,0
N06000006,376,East Londonderry,"67,038","41,030",61.2%,"41,278",61.6%,"41,293",61.6%,0,142,2,104,0,248,"1,417",0,0,"1,417",0,"1,221",2,0,0,0,0,4,190,"1,417",,,,"1,206",15,360,,,,,,,,,,,76,,,54, , ,0,22:20:00,00:50:00,23:25:00,01:50:00, ,0,0,0
S14000020,224,East Lothian,"79,093","55,878",70.6%,"55,935",70.7%,"56,259",71.1%,0,8,0,49,0,57,"17,264",38,0,"17,302",37,"14,577",75,17,21,0,0,78,"2,534","17,302","14,558",45,245,"14,253",322,534,14,188,15,2,28,129,85,31,17,15,83,"1,309",0, ,20/05/17,24/05/17,28,22:04:00,00:29:00,00:45:00,02:56:00,No,0,0,0
S14000021,469,East Renfrewshire,"70,076","53,805",76.8%,"53,872",76.9%,"54,223",77.4%,0,15,0,52,0,67,"16,280",26,0,"16,306",0,"14,294",29,6,20,0,0,96,"1,861","16,306","14,294",15,102,"13,943",340,461,14,131,4,10,2,31,58,12,20,203,81,"1,360",9,0,22/05/17,22/05/17,65,22:00:00,00:15:00,00:40:00,02:55:00,No,0,0,0
E14000681,552,East Surrey,"80,004","59,203",74.0%,"59,324",74.2%,"59,434",74.3%,0,35,0,86,0,121,"15,394",90,0,"15,484",0,"10,411",72,23,67,0,0,17,"4,894","15,484","10,411",16,62,"10,301",110,511,17,77,5,4,5,39,24,1,0,2,42,571,28,32,19/05/17,24/05/17, ,10:01:00,00:20:00,00:25:00,02:15:00,No,0,0,0
E14000682,638,East Worthing and Shoreham,"75,525","53,117",70.3%,"53,187",70.4%,"53,220",70.5%,0,8,2,60,0,70,"13,163",94,0,"13,257",19,"11,165",93,21,73,0,0,17,"1,888","13,257","11,165",59,79,"11,132",157,489,9,68,29,3,27,6,73,0,12,7,46,847,7,4,17/05/17,24/05/17,28,22:30:00,01:15:00,01:45:00,04:30:00,No,0, , 
E14000683,650,East Yorkshire,"81,065","53,956",66.6%,"54,053",66.7%,"54,143",66.8%,0,13,0,84,0,97,"10,839",17,6,"10,859",93,"9,215",108,1,16,6,0,57,"1,456","10,859","9,199",30,45,"9,125",75,515, ,85,2,3,25,22,21,2,8,8,101,374,25, ,16/05/17,19/05/17,31,22:10:00,01:20:00,01:25:00,04:02:00,No,0,0,0
E14000684,225,Eastbourne,"78,754","57,420",72.9%,"57,511",73.0%,"57,664",73.2%,0,17,3,71,0,91,"17,220",72,0,"17,292",0,"15,065",44,14,58,0,0,41,"2,070","17,292","15,065",64,78,"14,912",153,674,19,128,36,2,26,5,73,0,4,7,38,718,20,159,17/05/17,26/05/17,212,22:00:00,00:15:00,00:35:00,03:02:00,No,0,0,0
E14000685,226,Eastleigh,"81,212","57,280",70.5%,"57,416",70.7%,"57,993",71.4%,0,30,17,89,0,136,"17,363",111,0,"17,474",60,"14,815",42,3,8,0,0,58,"2,933","17,859","14,815",2,190,"14,238",0,518,69,168,0,2,0,25,133,32,0,0,56,695,3,2,08/05/17,16/05/17,206,22:00:00,01:00:00,01:15:00,02:35:00,No,0,0,0
E14000686,227,Eddisbury,"70,272","51,319",73.0%,"51,404",73.2%,"51,536",73.3%,0,1,1,83,0,85,"9,079",106,6,"9,191",26,"7,731",95,3,0,26,0,44,"1,292","9,191","7,731",26,106,"7,599",132,441,13,210,12,2,10,25,44,13,26,21,78,640,7,11,17/05/17,24/05/17,61,22:00:00,01:20:00,01:30:00,03:03:00,No,0,0,0
S14000022,228,Edinburgh East,"65,896","43,523",66.0%,"43,623",66.2%,"43,812",66.5%,0,18,1,81,0,100,"12,622",22,0,"12,644",0,"10,370",85,0,22,0,0,82,"2,085","12,644","10,369",63,116,"10,181",189,589,16,160,19,9,35,57,33,26,9,2,64,"1,054",12,6,18/05/17,22/05/17,65,22:00:00,00:30:00,00:50:00,03:00:00,No,0,0,0
S14000023,229,Edinburgh North and Leith,"79,473","56,552",71.2%,"56,624",71.2%,"57,202",72.0%,0,17,1,54,0,72,"17,580",28,1,"17,609",0,"15,099",147,1,27,1,0,83,"2,251","17,609","14,754",79,139,"14,521",578,847,25,228,20,14,45,70,50,19,16,0,76,"1,477",15,8,18/05/17,22/05/17,52,22:00:00,00:40:00,01:20:00,03:45:00,No,0,0,0
S14000024,230,Edinburgh South,"64,553","47,840",74.1%,"47,913",74.2%,"48,130",74.6%,0,9,1,63,0,73,"16,057",20,1,"16,078",0,"13,916",113,4,16,1,0,83,"1,945","16,078","13,945",81,154,"13,699",217,815,28,233,21,20,40,87,52,15,11,0,60,"1,417",11,4,18/05/17,22/05/17,67,22:00:00,00:55:00,01:20:00,03:40:00,No,0,0,0
S14000025,231,Edinburgh South West,"71,178","49,390",69.4%,"49,464",69.5%,"49,728",69.9%,0,11,2,61,0,74,"16,193",31,0,"16,224",0,"13,799",87,3,28,0,0,82,"2,225","16,224","13,782",83,155,"13,535",264,580,12,190,25,13,45,88,44,23,9,1,69,"1,399",8,4,18/05/17,22/05/17,53,22:00:00,01:00:00,01:25:00,03:40:00,No,0,0,0
S14000026,232,Edinburgh West,"71,500","52,795",73.8%,"52,866",73.9%,"53,217",74.4%,0,14,0,57,0,71,"18,074",20,0,"18,114",0,"15,838",60,5,15,0,0,82,"2,114","18,114","15,789",90,194,"15,487",351,606,18,129,16,11,63,93,64,37,18,1,67,"1,473",7,3,18/05/17,23/05/17,64,22:00:00,00:50:00,01:25:00,03:30:00,No,0,0,0
E14000687,233,Edmonton,"65,693","43,678",66.5%,"43,791",66.7%,"43,898",66.8%,0,46,7,60,0,113,"7,186",37,0,"7,223",20,"5,739",45,2,15,0,0,24,"1,398","7,223","5,739",21,86,"5,632",107,193,4,17,10,3,8,25,54,7,0,0,37,903,0,220,22/05/17,30/05/17, ,22:00:00,01:00:00,00:30:00,04:30:00,No,0,0,0
E14000688,234,Ellesmere Port and Neston,"68,666","50,939",74.2%,"51,008",74.3%,"51,182",74.5%,0,20,1,48,0,69,"9,286",39,4,"9,329",41,"8,205",23,3,0,41,1,28,"1,028","9,329","8,205",32,142,"8,031",174,548,10,63,15,1,16,33,60,17,41,19,52,374,5,11,17/05/17,24/05/17,31,22:00:00,12:55:00,01:00:00,03:00:00,No,0,0,0
E14000689,235,Elmet and Rothwell,"80,291","59,542",74.2%,"59,676",74.3%,"59,926",74.6%,0,18,6,110,0,134,"17,161",37,0,"17,198",23,"15,210",30,4,33,33,0,39,"1,849","17,198","15,210",62,86,"14,960",251,413,11,24,50,11,1,70,15,1,11,103,62,125,15,5,15/05/17,23/05/17,29,22:00:00,12:30:00,00:30:00,02:30:00,No,0,0,0
E14000690,236,Eltham,"64,474","46,154",71.6%,"46,304",71.8%,"46,491",72.1%,0,24,1,125,0,150,"10,338",44,0,"10,382",0,"8,870",26,0,44,0,0,26,"1,416","10,382","8,870",19,152,"8,683",170,452,23,47,4,8,7,71,66,15,17,9,50,804,7,3,17/05/17,18/05/17, ,22:00:00,00:38:00,00:30:00,02:44:00,No,0,0,0
