Westminster constituency name,ONS code,General election win 2010,11/2012 general and by-election win,11/2012 Member of Parliament
Ruislip Northwood and Pinner,E14000906,Conservative,Nick Hurd (Conservative),Conservative
Runnymede and Weybridge,E14000907,Conservative,Philip Hammond (Conservative),Conservative
Rushcliffe,E14000908,Conservative,Kenneth Clarke (Conservative),Conservative
Rutherglen and Hamilton West,S14000056,Labour,Tom Greatrex (Labour),Labour
Rutland and Melton,E14000909,Conservative,Alan Duncan (Conservative),Conservative
Saffron Walden,E14000910,Conservative,Alan Haselhurst (Conservative),Conservative
Salford and Eccles,E14000911,Labour,Hazel Blears (Labour),Labour
Salisbury,E14000912,Conservative,John Glen (Conservative),Conservative
Scarborough and Whitby,E14000913,Conservative,Robert Goodwill (Conservative),Conservative
Scunthorpe,E14000914,Labour,Nic Dakin (Labour),Labour
Sedgefield,E14000915,Labour,Phil Wilson (Labour),Labour
Sefton Central,E14000916,Labour,Bill Esterton (Labour),Labour
Selby and Ainsty,E14000917,Conservative,Nigel Adams (Conservative),Conservative
Sevenoaks,E14000918,Conservative,Michael Fallon (Conservative),Conservative
Sheffield Brightside and Hillsborough,E14000921,Labour,David Blunkett (Labour),Labour
Sheffield Central,E14000919,Labour,Paul Blomfield (Labour),Labour
Sheffield Hallam,E14000922,Lib-Dem,Nick Clegg (Liberal Democrat),Lib-Dem
Sheffield Heeley,E14000923,Labour,Meg Munn (Labour),Labour
Sheffield South East,E14000920,Labour,Clive Betts (Labour),Labour
Sherwood,E14000924,Conservative,Mark Spencer (Conservative),Conservative
Shipley,E14000925,Conservative,Philip Davies (Conservative),Conservative
Shrewsbury and Atcham,E14000926,Conservative,Daniel Kawczynski (Conservative),Conservative
Sittingbourne and Sheppey,E14000927,Conservative,Gordon Henderson (Conservative),Conservative
Skipton and Ripon,E14000928,Conservative,Julian Smith (Conservative),Conservative
Sleaford and North Hykeham,E14000929,Conservative,Stephen Phillips (Conservative),Conservative
Slough,E14000930,Labour,Fiona Mactaggart (Labour),Labour
Solihull,E14000931,Lib-Dem,Lorely Burt (Liberal Democrat),Lib-Dem
Somerton and Frome,E14000932,Lib-Dem,David Heath (Liberal Democrat),Lib-Dem
South Basildon and East Thurrock,E14000933,Conservative,Stephen Metcalfe (Conservative),Conservative
South Cambridgeshire,E14000934,Conservative,Andrew Lansley (Conservative),Conservative
South Derbyshire,E14000935,Conservative,Heather Wheeler (Conservative),Conservative
South Dorset,E14000936,Conservative,Richard Drax (Conservative),Conservative
South East Cambridgeshire,E14000937,Conservative,James Paice (Conservative),Conservative
South East Cornwall,E14000938,Conservative,Sheryll Murray (Conservative),Conservative
South Holland and The Deepings,E14000939,Conservative,John Hayes (Conservative),Conservative
South Leicestershire,E14000940,Conservative,Andrew Robathan (Conservative),Conservative
South Norfolk,E14000941,Conservative,Richard Bacon (Conservative),Conservative
South Northamptonshire,E14000942,Conservative,Andrea Leadsom (Conservative),Conservative
South Ribble,E14000943,Conservative,Lorraine Fullbrook (Conservative),Conservative
South Shields,E14000944,Labour,David Miliband (Labour),Labour
South Staffordshire,E14000945,Conservative,Gavin Williamson (Conservative),Conservative
South Suffolk,E14000946,Conservative,Tim Yeo (Conservative),Conservative
South Swindon,E14000947,Conservative,Robert Buckland (Conservative),Conservative
South Thanet,E14000948,Conservative,Laura Sandys (Conservative),Conservative
South West Bedfordshire,E14000949,Conservative,Andrew Selous (Conservative),Conservative
South West Devon,E14000950,Conservative,Gary Streeter (Conservative),Conservative
South West Hertfordshire,E14000951,Conservative,David Gauke (Conservative),Conservative
South West Norfolk,E14000952,Conservative,Elizabeth Truss (Conservative),Conservative
South West Surrey,E14000953,Conservative,Jeremy Hunt (Conservative),Conservative
South West Wiltshire,E14000954,Conservative,Andrew Murrison (Conservative),Conservative
Southampton Itchen,E14000955,Labour,John Denham (Labour),Labour
Southampton Test,E14000956,Labour,Alan Whitehead (Labour),Labour
Southend West,E14000957,Conservative,David Amess (Conservative),Conservative
Southport,E14000958,Lib-Dem,John Pugh (Liberal Democrat),Lib-Dem
Spelthorne,E14000959,Conservative,Kwasi Kwarteng (Conservative),Conservative
St. Albans,E14000960,Conservative,Anne Main (Conservative),Conservative
St. Austell and Newquay,E14000961,Lib-Dem,Stephen Gilbert (Liberal Democrat),Lib-Dem
St. Helens North,E14000962,Labour,Dave Watts (Labour),Labour
St. Helens South and Whiston,E14000963,Labour,Shaun Woodward (Labour),Labour
St. Ives,E14000964,Lib-Dem,Andrew George (Liberal Democrat),Lib-Dem
Stafford,E14000965,Conservative,Jeremy Lefroy (Conservative),Conservative
Staffordshire Moorlands,E14000966,Conservative,Karen Bradley (Conservative),Conservative
Stalybridge and Hyde,E14000967,Labour,Jonathan Reynolds (Labour),Labour
Stevenage,E14000968,Conservative,Stephen McPartland (Conservative),Conservative
Stirling,S14000057,Labour,Anne McGuire (Labour),Labour
Stockport,E14000969,Labour,Ann Coffey (Labour),Labour
Stockton North,E14000970,Labour,Alex Cunningham (Labour),Labour
Stockton South,E14000971,Conservative,James Wharton (Conservative),Conservative
Stoke-on-Trent Central,E14000972,Labour,Tristram Hunt (Labour),Labour
Stoke-on-Trent North,E14000973,Labour,Joan Walley (Labour),Labour
Stoke-on-Trent South,E14000974,Labour,Robert Flello (Labour),Labour
Stone,E14000975,Conservative,William Cash (Conservative),Conservative
Stourbridge,E14000976,Conservative,Margot James (Conservative),Conservative
Stratford-on-Avon,E14000977,Conservative,Nadhim Zahawi (Conservative),Conservative
Streatham,E14000978,Labour,Chuka Umunna (Labour),Labour
Stretford and Urmston,E14000979,Labour,Kate Green (Labour),Labour
Stroud,E14000980,Conservative,Neil Carmichael (Conservative),Conservative
Suffolk Coastal,E14000981,Conservative,Therese Coffey (Conservative),Conservative
Sunderland Central,E14000982,Labour,Julie Elliott (Labour),Labour
Surrey Heath,E14000983,Conservative,Michael Gove (Conservative),Conservative
Sutton and Cheam,E14000984,Lib-Dem,Paul Burstow (Liberal Democrat),Lib-Dem
Sutton Coldfield,E14000985,Conservative,Andrew Mitchell (Conservative),Conservative
Swansea East,W07000048,Labour,Sian James (Labour),Labour
Swansea West,W07000047,Labour,Geraint Davies (Labour),Labour
Tamworth,E14000986,Conservative,Christopher Pincher (Conservative),Conservative
Tatton,E14000987,Conservative,George Osborne (Conservative),Conservative
Taunton Deane,E14000988,Lib-Dem,Jeremy Browne (Liberal Democrat),Lib-Dem
Telford,E14000989,Labour,David Wright (Labour),Labour
Tewkesbury,E14000990,Conservative,Laurence Robertson (Conservative),Conservative
The Cotswolds,E14000991,Conservative,Geoffrey Clifton-Brown (Conservative),Conservative
The Wrekin,E14000992,Conservative,Mark Pritchard (Conservative),Conservative
Thirsk and Malton,E14000993,Conservative,Anne McIntosh (Conservative),Conservative
Thornbury and Yate,E14000994,Lib-Dem,Steve Webb (Liberal Democrat),Lib-Dem
Thurrock,E14000995,Conservative,Jackie Doyle-Price (Conservative),Conservative
Tiverton and Honiton,E14000996,Conservative,Neil Parish (Conservative),Conservative
Tonbridge and Malling,E14000997,Conservative,John Stanley (Conservative),Conservative
Tooting,E14000998,Labour,Sadiq Khan (Labour),Labour
Torbay,E14000999,Lib-Dem,Adrian Sanders (Liberal Democrat),Lib-Dem
Torfaen,W07000053,Labour,Paul Murphy (Labour),Labour
Torridge and West Devon,E14001000,Conservative,Geoffrey Cox (Conservative),Conservative
Totnes,E14001001,Conservative,Sarah Wollaston (Conservative),Conservative
Tottenham,E14001002,Labour,David Lammy (Labour),Labour
Truro and Falmouth,E14001003,Conservative,Sarah Newton (Conservative),Conservative
Tunbridge Wells,E14001004,Conservative,Greg Clark (Conservative),Conservative
Twickenham,E14001005,Lib-Dem,Vincent Cable (Liberal Democrat),Lib-Dem
Tynemouth,E14001006,Labour,Alan Campbell (Labour),Labour
Uxbridge and South Ruislip,E14001007,Conservative,John Randall (Conservative),Conservative
Vale of Clwyd,W07000060,Labour,Chris Ruane (Labour),Labour
Vale of Glamorgan,W07000078,Conservative,Alun Cairns (Conservative),Conservative
Vauxhall,E14001008,Labour,Kate Hoey (Labour),Labour
Wakefield,E14001009,Labour,Mary Creagh (Labour),Labour
Wallasey,E14001010,Labour,Angela Eagle (Labour),Labour
Walsall North,E14001011,Labour,David Winnick (Labour),Labour
Walsall South,E14001012,Labour,Valerie Vaz (Labour),Labour
Walthamstow,E14001013,Labour,Stella Creasy (Labour),Labour
Wansbeck,E14001014,Labour,Ian Lavery (Labour),Labour
Wantage,E14001015,Conservative,Edward Vaizey (Conservative),Conservative
Warley,E14001016,Labour,John Spellar (Labour),Labour
Warrington North,E14001017,Labour,Helen Jones (Labour),Labour
Warrington South,E14001018,Conservative,David Mowat (Conservative),Conservative
Warwick and Leamington,E14001019,Conservative,Chris White (Conservative),Conservative
Washington and Sunderland West,E14001020,Labour,Sharon Hodgson (Labour),Labour
Watford,E14001021,Conservative,Richard Harrington (Conservative),Conservative
Waveney,E14001022,Conservative,Peter Aldous (Conservative),Conservative
Wealden,E14001023,Conservative,Charles Hendry (Conservative),Conservative
Weaver Vale,E14001024,Conservative,Graham Evans (Conservative),Conservative
Wellingborough,E14001025,Conservative,Peter Bone (Conservative),Conservative
Wells,E14001026,Lib-Dem,Tessa Munt (Liberal Democrat),Lib-Dem
Welwyn Hatfield,E14001027,Conservative,Grant Shapps (Conservative),Conservative
Wentworth and Dearne,E14001028,Labour,John Healey (Labour),Labour
West Aberdeenshire and Kincardine,S14000058,Lib-Dem,Sir Robert Smith (Liberal Democrat),Lib-Dem
West Bromwich East,E14001029,Labour,Tom Watson (Labour),Labour
West Bromwich West,E14001030,Labour,Adrian Bailey (Labour),Labour
West Dorset,E14001031,Conservative,Oliver Letwin (Conservative),Conservative
West Dunbartonshire,S14000059,Labour,Gemma Doyle (Labour),Labour
West Ham,E14001032,Labour,Lyn Brown (Labour),Labour
West Lancashire,E14001033,Labour,Rosie Cooper (Labour),Labour
West Suffolk,E14001034,Conservative,Matt Hancock (Conservative),Conservative
West Worcestershire,E14001035,Conservative,Harriett Baldwin (Conservative),Conservative
Westminster North,E14001036,Labour,Karen Buck (Labour),Labour
Westmorland and Lonsdale,E14001037,Lib-Dem,Tim Farron (Liberal Democrat),Lib-Dem
Weston-Super-Mare,E14001038,Conservative,John Penrose (Conservative),Conservative
Wigan,E14001039,Labour,Lisa Nandy (Labour),Labour
Wimbledon,E14001040,Conservative,Stephen Hammond (Conservative),Conservative
Winchester,E14001041,Conservative,Steve Brine (Conservative),Conservative
Windsor,E14001042,Conservative,Adam Afriyie (Conservative),Conservative
Wirral South,E14001043,Labour,Alison McGovern (Labour),Labour
Wirral West,E14001044,Conservative,Esther McVey (Conservative),Conservative
Witham,E14001045,Conservative,Priti Patel (Conservative),Conservative
Witney,E14001046,Conservative,David Cameron (Conservative),Conservative
Woking,E14001047,Conservative,Jonathan Lord (Conservative),Conservative
Wokingham,E14001048,Conservative,John Redwood (Conservative),Conservative
Wolverhampton North East,E14001049,Labour,Emma Reynolds (Labour),Labour
Wolverhampton South East,E14001050,Labour,Patrick McFadden (Labour),Labour
Wolverhampton South West,E14001051,Conservative,Paul Uppal (Conservative),Conservative
Worcester,E14001052,Conservative,Robin Walker (Conservative),Conservative
Workington,E14001053,Labour,Tony Cunningham (Labour),Labour
Worsley and Eccles South,E14001054,Labour,Barbabra Keeley (Labour),Labour
Worthing West,E14001055,Conservative,Peter Bottomley (Conservative),Conservative
Wrexham,W07000044,Labour,Ian Lucas (Labour),Labour
Wycombe,E14001056,Conservative,Steve Baker (Conservative),Conservative
Wyre and Preston North,E14001057,Conservative,Ben Wallace (Conservative),Conservative
Wyre Forest,E14001058,Conservative,Mark Garnier (Conservative),Conservative
Wythenshawe and Sale East,E14001059,Labour,Paul Goggins (Labour),Labour
Yeovil,E14001060,Lib-Dem,David Laws (Liberal Democrat),Lib-Dem
Ynys Mon,W07000041,Labour,Albert Owen (Labour),Labour
York Central,E14001061,Labour,Hugh Bayley (Labour),Labour
York Outer,E14001062,Conservative,Julian Sturdy (Conservative),Conservative
