Latitude,Longitude,Type,Date,Part of a policing operation,Policing operation,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
52.52799,-2.034434,Person search,2017-12-28T17:41:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.480049,-1.89328,Person search,2017-12-28T17:49:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,TRUE
52.480049,-1.89328,Person search,2017-12-28T18:15:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.491144,-1.885374,Person and Vehicle search,2017-12-28T18:40:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,FALSE,FALSE
52.489377,-1.841506,Person search,2017-12-28T18:54:00+00:00,,,,18-24,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
52.489377,-1.841506,Person search,2017-12-28T19:00:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.489377,-1.841506,Person search,2017-12-28T19:02:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.489377,-1.841506,Person search,2017-12-28T19:04:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.489226,-1.942093,Person search,2017-12-28T20:43:00+00:00,,,,25-34,Asian/Asian British - Indian,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.464993,-1.876905,Person search,2017-12-28T21:16:00+00:00,,,,25-34,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,FALSE
52.480049,-1.89328,Person search,2017-12-28T21:21:00+00:00,,,,25-34,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,FALSE,TRUE
52.464993,-1.876905,Person and Vehicle search,2017-12-28T22:24:00+00:00,,,,25-34,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.464993,-1.876905,Person and Vehicle search,2017-12-28T22:24:00+00:00,,,,25-34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,
52.478748,-2.092553,Person and Vehicle search,2017-12-28T22:41:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.478748,-2.092553,Person and Vehicle search,2017-12-28T22:41:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,TRUE
52.478748,-2.092553,Person and Vehicle search,2017-12-28T22:41:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.537055,-1.89441,Person search,2017-12-28T23:10:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,TRUE,FALSE
52.537055,-1.89441,Vehicle search,2017-12-28T23:35:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,
52.595883,-2.14112,Person search,2017-12-28T23:45:00+00:00,,,,,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.544838,-1.891575,Person and Vehicle search,2017-12-29T03:54:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,TRUE,FALSE
52.537055,-1.89441,Person search,2017-12-29T04:54:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,FALSE
52.537055,-1.89441,Person search,2017-12-29T04:56:00+00:00,,,,,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,FALSE
52.537055,-1.89441,Person search,2017-12-29T04:58:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,FALSE
52.549675,-1.858308,Person search,2017-12-29T09:30:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.549675,-1.858308,Person search,2017-12-29T09:30:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.54922,-1.861023,Person search,2017-12-29T09:30:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Offender given drugs possession warning,FALSE,FALSE
52.482293,-1.91062,Person search,2017-12-29T11:49:00+00:00,,,,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.425557,-1.835323,Vehicle search,2017-12-29T16:26:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.455831,-1.825895,Person and Vehicle search,2017-12-29T18:05:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.455831,-1.825895,Person search,2017-12-29T18:05:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.510116,-1.956461,Person and Vehicle search,2017-12-29T18:06:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Firearms Act 1968 (section 47),Firearms,Suspect arrested,TRUE,FALSE
52.510116,-1.956461,Person and Vehicle search,2017-12-29T20:04:00+00:00,,,,25-34,Black/African/Caribbean/Black British - Caribbean,,Firearms Act 1968 (section 47),Firearms,Suspect arrested,FALSE,FALSE
52.476599,-1.846116,Person search,2017-12-29T21:40:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.445736,-1.8203,Person and Vehicle search,2017-12-29T21:49:00+00:00,,,,,Asian/Asian British - Indian,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,FALSE,FALSE
52.445736,-1.8203,Person and Vehicle search,2017-12-29T21:49:00+00:00,,,,,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,FALSE,FALSE
52.445736,-1.8203,Person and Vehicle search,2017-12-29T21:49:00+00:00,,,,,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,FALSE,FALSE
52.445736,-1.8203,Person and Vehicle search,2017-12-29T21:49:00+00:00,,,,,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,FALSE,FALSE
52.476599,-1.846116,Person search,2017-12-29T22:25:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.445736,-1.8203,Person and Vehicle search,2017-12-29T22:31:00+00:00,,,,,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,FALSE,FALSE
52.430192,-1.979424,Vehicle search,2017-12-29T23:04:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.443495,-1.78628,Person and Vehicle search,2017-12-29T23:06:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.443495,-1.78628,Person and Vehicle search,2017-12-29T23:06:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.443495,-1.78628,Person search,2017-12-29T23:12:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.443495,-1.78628,Person search,2017-12-29T23:12:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.475494,-1.89628,Person search,2017-12-30T00:00:00+00:00,,,,18-24,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.414314,-1.781628,Person search,2017-12-30T00:20:00+00:00,,,,,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.57729,-2.149929,Person and Vehicle search,2017-12-30T00:47:00+00:00,,,,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,,Firearms Act 1968 (section 47),Firearms,Suspect arrested,TRUE,FALSE
52.525583,-1.874716,Person search,2017-12-30T00:59:00+00:00,,,,Oct-17,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.414314,-1.781628,Person search,2017-12-30T01:29:00+00:00,,,,,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Offender given drugs possession warning,FALSE,FALSE
52.552671,-1.978099,Person and Vehicle search,2017-12-30T02:00:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.552671,-1.978099,Person and Vehicle search,2017-12-30T02:00:00+00:00,,,,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.475494,-1.89628,Person search,2017-12-30T02:37:00+00:00,,,,18-24,Mixed/Multiple ethnic groups - White and Black African,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.413761,-1.956173,Person search,2017-12-30T03:20:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.475571,-1.914403,Person search,2017-12-30T03:30:00+00:00,,,,Oct-17,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.565515,-1.781174,Person search,2017-12-30T04:33:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,FALSE
52.406213,-1.901954,Person search,2017-12-30T07:53:00+00:00,,,,,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.490217,-1.831709,Person and Vehicle search,2017-12-30T12:33:00+00:00,,,,over 34,Black/African/Caribbean/Black British - Caribbean,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.490217,-1.831709,Person and Vehicle search,2017-12-30T12:33:00+00:00,,,,,Black/African/Caribbean/Black British - African,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.408991,-1.830607,Person search,2017-12-30T13:20:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.408991,-1.830607,Person search,2017-12-30T13:30:00+00:00,,,,18-24,Mixed/Multiple ethnic groups - White and Black African,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.4757,-1.868159,Person search,2017-12-30T14:33:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.4757,-1.868159,Person search,2017-12-30T14:34:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.475544,-1.865244,Person search,2017-12-30T14:40:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.475544,-1.865244,Person search,2017-12-30T14:46:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.472895,-1.895079,Person search,2017-12-30T15:40:00+00:00,,,,18-24,Asian/Asian British - Any other Asian background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,TRUE,
52.457467,-1.875042,Person search,2017-12-30T16:47:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.457945,-1.876659,Vehicle search,2017-12-30T16:56:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
52.505937,-1.939847,Person search,2017-12-30T18:55:00+00:00,,,,over 34,Asian/Asian British - Indian,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
52.511966,-1.886174,Person search,2017-12-30T19:43:00+00:00,,,,,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.511141,-1.888151,Vehicle search,2017-12-30T20:03:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.511141,-1.888151,Person search,2017-12-30T20:31:00+00:00,,,,Oct-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.543206,-1.868576,Person and Vehicle search,2017-12-30T21:12:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.490987,-1.924962,Person search,2017-12-30T21:54:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,
52.490987,-1.924962,Person search,2017-12-30T21:54:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,
52.490987,-1.924962,Vehicle search,2017-12-30T22:05:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,
52.477251,-1.912118,Person search,2017-12-30T23:49:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,FALSE
52.462869,-1.837671,Person and Vehicle search,2017-12-30T23:50:00+00:00,,,,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,FALSE,FALSE
52.477251,-1.912118,Person search,2017-12-30T23:56:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,FALSE
52.476386,-1.898457,Person search,2017-12-31T00:25:00+00:00,,,,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.473434,-1.895018,Person search,2017-12-31T00:35:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.482885,-2.120466,Person and Vehicle search,2017-12-31T00:38:00+00:00,,,,,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,FALSE
52.476386,-1.898457,Person search,2017-12-31T00:48:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.488053,-2.011178,Vehicle search,2017-12-31T01:07:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,
52.4174,-1.543154,Person and Vehicle search,2017-12-31T02:09:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,
52.584225,-1.980652,Person search,2017-12-31T02:38:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.607321,-1.987464,Person search,2017-12-31T02:53:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.473417,-1.918559,Person search,2017-12-31T02:55:00+00:00,,,,25-34,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.473417,-1.918559,Person search,2017-12-31T02:55:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.472174,-1.91597,Person search,2017-12-31T03:35:00+00:00,,,,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.619798,-2.160901,Person search,2017-12-31T03:36:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.619798,-2.160901,Person search,2017-12-31T03:36:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.619798,-2.160901,Vehicle search,2017-12-31T03:41:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
52.619798,-2.160901,Person search,2017-12-31T03:41:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.472975,-1.916616,Person search,2017-12-31T04:05:00+00:00,,,,18-24,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
52.511974,-1.93225,Person search,2017-12-31T05:41:00+00:00,,,,25-34,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.479273,-1.899834,Person search,2017-12-31T12:56:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.390155,-1.65595,Person search,2017-12-31T13:04:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.44642,-1.820826,Person search,2017-12-31T13:57:00+00:00,,,,over 34,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Article found - Detailed outcome unavailable,FALSE,FALSE
52.535379,-1.871902,Person and Vehicle search,2017-12-31T13:58:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,FALSE
52.479273,-1.899834,Person search,2017-12-31T14:40:00+00:00,,,,25-34,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.499608,-1.864037,Person and Vehicle search,2017-12-31T15:38:00+00:00,,,,over 34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.614459,-2.005687,Person search,2017-12-31T17:35:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,FALSE
52.441375,-1.844973,Person search,2017-12-31T20:34:00+00:00,,,,18-24,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.441375,-1.844973,Person search,2017-12-31T20:34:00+00:00,,,,18-24,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.44987,-1.725804,Person search,2017-12-31T22:12:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,FALSE,FALSE
Latitude,Longitude,Type,Date,Part of a policing operation,Policing operation,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
52.398538,-2.018621,Person search,2018-01-01T01:15:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.475571,-1.914403,Person search,2018-01-01T02:00:00+00:00,,,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.474394,-1.91467,Person search,2018-01-01T02:45:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.610971,-1.989856,Person search,2018-01-01T03:41:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.610971,-1.989856,Person search,2018-01-01T03:41:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,FALSE,FALSE
52.562923,-1.822462,Person search,2018-01-01T08:51:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.562923,-1.822462,Person search,2018-01-01T08:51:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.519489,-1.851994,Person search,2018-01-01T11:05:00+00:00,,,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.519489,-1.851994,Person search,2018-01-01T11:27:00+00:00,,,,Oct-17,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.364972,-1.804986,Person search,2018-01-01T12:49:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.364972,-1.804986,Person search,2018-01-01T12:49:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.364972,-1.804986,Person search,2018-01-01T12:49:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.417406,-1.762704,Person search,2018-01-01T13:30:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.39275,-1.645437,Person search,2018-01-01T13:40:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.510116,-1.956461,Person search,2018-01-01T15:15:00+00:00,,,,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,FALSE
52.401944,-1.819066,Person search,2018-01-01T16:00:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,TRUE,FALSE
52.522427,-1.843819,Person search,2018-01-01T17:00:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,FALSE,FALSE
52.522427,-1.843819,Person search,2018-01-01T17:00:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,FALSE,FALSE
52.472895,-1.895079,Person search,2018-01-01T18:09:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.391595,-1.736818,Person search,2018-01-01T19:12:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given penalty notice,FALSE,FALSE
52.61241,-1.993828,Person search,2018-01-01T19:57:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Nothing found - no further action,,FALSE
52.472381,-1.89374,Person search,2018-01-01T21:09:00+00:00,,,,Oct-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,FALSE
52.52805,-1.815557,Person search,2018-01-01T22:05:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.52805,-1.815557,Person search,2018-01-01T22:05:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.52805,-1.815557,Person search,2018-01-01T22:05:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.52805,-1.815557,Person search,2018-01-01T22:05:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
